date,close,change,pct,z_score,open,high,low,volume,fetch_time
2/4/2025,19654.02,262.06,1.35,0.00,19654.02,19654.02,19654.02,0,
2/5/2025,19692.33,38.31,0.19,0.00,19692.33,19692.33,19692.33,0,
2/6/2025,19791.99,99.66,0.51,0.00,19791.99,19791.99,19791.99,0,
2/7/2025,19523.40,-268.59,-1.36,0.00,19523.40,19523.40,19523.40,0,
2/10/2025,19714.27,190.87,0.98,0.00,19714.27,19714.27,19714.27,0,
2/11/2025,19643.86,-70.41,-0.36,0.00,19643.86,19643.86,19643.86,0,
2/12/2025,19649.95,6.09,0.03,0.00,19649.95,19649.95,19649.95,0,
2/13/2025,19945.64,295.69,1.50,0.00,19945.64,19945.64,19945.64,0,
2/14/2025,20026.77,81.13,0.41,0.00,20026.77,20026.77,20026.77,0,
2/18/2025,20041.26,14.49,0.07,0.00,20041.26,20041.26,20041.26,0,
2/19/2025,20056.25,14.99,0.07,0.00,20056.25,20056.25,20056.25,0,
2/20/2025,19962.36,-93.89,-0.47,0.00,19962.36,19962.36,19962.36,0,
2/21/2025,19524.01,-438.35,-2.20,0.00,19524.01,19524.01,19524.01,0,
2/24/2025,19286.93,-237.08,-1.21,0.00,19286.93,19286.93,19286.93,0,
2/25/2025,19026.39,-260.54,-1.35,0.00,19026.39,19026.39,19026.39,0,
2/26/2025,19075.26,48.87,0.26,0.00,19075.26,19075.26,19075.26,0,
2/27/2025,18544.42,-530.84,-2.78,0.00,18544.42,18544.42,18544.42,0,
2/28/2025,18847.28,302.86,1.63,0.00,18847.28,18847.28,18847.28,0,
3/3/2025,18350.19,-497.09,-2.64,0.00,18350.19,18350.19,18350.19,0,
3/4/2025,18285.16,-65.03,-0.35,0.00,18285.16,18285.16,18285.16,0,
3/5/2025,18552.73,267.57,1.46,0.00,18552.73,18552.73,18552.73,0,
3/6/2025,18069.26,-483.47,-2.61,0.00,18069.26,18069.26,18069.26,0,
3/7/2025,18196.22,126.96,0.70,0.00,18196.22,18196.22,18196.22,0,
3/10/2025,17468.32,-727.90,-4.00,0.00,17468.32,17468.32,17468.32,0,
3/11/2025,17436.10,-32.22,-0.18,0.00,17436.10,17436.10,17436.10,0,
3/12/2025,17648.45,212.35,1.22,0.00,17648.45,17648.45,17648.45,0,
3/13/2025,17303.01,-345.44,-1.96,0.00,17303.01,17303.01,17303.01,0,
3/14/2025,17754.09,451.08,2.61,0.00,17754.09,17754.09,17754.09,0,
3/17/2025,17808.66,54.57,0.31,0.00,17808.66,17808.66,17808.66,0,
3/18/2025,17504.12,-304.54,-1.71,0.00,17504.12,17504.12,17504.12,0,
3/19/2025,17750.79,246.67,1.41,0.00,17750.79,17750.79,17750.79,0,
3/20/2025,17691.63,-59.16,-0.33,0.00,17691.63,17691.63,17691.63,0,
3/21/2025,17784.05,92.42,0.52,0.00,17784.05,17784.05,17784.05,0,
3/24/2025,18188.59,404.54,2.27,0.00,18188.59,18188.59,18188.59,0,
3/25/2025,18271.86,83.27,0.46,0.00,18271.86,18271.86,18271.86,0,
3/26/2025,17899.02,-372.84,-2.04,0.00,17899.02,17899.02,17899.02,0,
3/27/2025,17804.03,-94.99,-0.53,0.00,17804.03,17804.03,17804.03,0,
3/28/2025,17322.99,-481.04,-2.70,0.00,17322.99,17322.99,17322.99,0,
3/31/2025,17299.29,-23.70,-0.14,0.00,17299.29,17299.29,17299.29,0,
4/1/2025,17449.89,150.60,0.87,0.00,17449.89,17449.89,17449.89,0,
4/2/2025,17601.05,151.16,0.87,0.00,17601.05,17601.05,17601.05,0,
4/3/2025,16550.61,-1050.44,-5.97,0.00,16550.61,16550.61,16550.61,0,
4/4/2025,15587.79,-962.82,-5.82,0.00,15587.79,15587.79,15587.79,0,
4/7/2025,15603.26,15.47,0.10,0.00,15603.26,15603.26,15603.26,0,
4/8/2025,15267.91,-335.35,-2.15,0.00,15267.91,15267.91,15267.91,0,
4/9/2025,17124.97,1857.06,12.16,0.00,17124.97,17124.97,17124.97,0,
4/10/2025,16387.31,-737.66,-4.31,0.00,16387.31,16387.31,16387.31,0,
4/11/2025,16724.46,337.15,2.06,0.00,16724.46,16724.46,16724.46,0,
4/14/2025,16831.48,107.02,0.64,0.00,16831.48,16831.48,16831.48,0,
4/15/2025,16823.17,-8.31,-0.05,0.00,16823.17,16823.17,16823.17,0,
4/16/2025,16307.16,-516.01,-3.07,0.00,16307.16,16307.16,16307.16,0,
4/17/2025,16286.45,-20.71,-0.13,0.00,16286.45,16286.45,16286.45,0,
4/21/2025,15870.90,-415.55,-2.55,0.00,15870.90,15870.90,15870.90,0,
4/22/2025,16300.42,429.52,2.71,0.00,16300.42,16300.42,16300.42,0,
4/23/2025,16708.05,407.63,2.50,0.00,16708.05,16708.05,16708.05,0,
4/24/2025,17166.04,457.99,2.74,0.00,17166.04,17166.04,17166.04,0,
4/25/2025,17382.94,216.90,1.26,0.00,17382.94,17382.94,17382.94,0,
4/28/2025,17366.13,-16.81,-0.10,0.00,17366.13,17366.13,17366.13,0,
4/29/2025,17461.32,95.19,0.55,0.00,17461.32,17461.32,17461.32,0,
4/30/2025,17446.34,-14.98,-0.09,0.00,17446.34,17446.34,17446.34,0,
5/1/2025,17710.74,264.40,1.52,0.00,17710.74,17710.74,17710.74,0,
5/2/2025,17977.73,266.99,1.51,0.00,17977.73,17977.73,17977.73,0,
5/5/2025,17844.24,-133.49,-0.74,0.00,17844.24,17844.24,17844.24,0,
5/6/2025,17689.66,-154.58,-0.87,0.00,17689.66,17689.66,17689.66,0,
5/7/2025,17738.16,48.50,0.27,0.00,17738.16,17738.16,17738.16,0,
5/8/2025,17928.14,189.98,1.07,0.00,17928.14,17928.14,17928.14,0,
5/9/2025,17928.92,0.78,0.00,0.00,17928.92,17928.92,17928.92,0,
5/12/2025,18708.34,779.42,4.35,0.00,18708.34,18708.34,18708.34,0,
5/13/2025,19010.09,301.75,1.61,0.00,19010.09,19010.09,19010.09,0,
5/14/2025,19146.81,136.72,0.72,0.00,19146.81,19146.81,19146.81,0,
5/15/2025,19112.32,-34.49,-0.18,0.00,19112.32,19112.32,19112.32,0,
5/16/2025,19211.10,98.78,0.52,0.00,19211.10,19211.10,19211.10,0,
5/19/2025,19215.46,4.36,0.02,0.00,19215.46,19215.46,19215.46,0,
5/20/2025,19142.71,-72.75,-0.38,0.00,19142.71,19142.71,19142.71,0,
5/21/2025,18872.64,-270.07,-1.41,0.00,18872.64,18872.64,18872.64,0,
5/22/2025,18925.74,53.10,0.28,0.00,18925.74,18925.74,18925.74,0,
5/23/2025,18737.21,-188.53,-1.00,0.00,18737.21,18737.21,18737.21,0,
5/27/2025,19199.16,461.95,2.47,0.00,19199.16,19199.16,19199.16,0,
5/28/2025,19100.94,-98.22,-0.51,0.00,19100.94,19100.94,19100.94,0,
5/29/2025,19175.87,74.93,0.39,0.00,19175.87,19175.87,19175.87,0,
5/30/2025,19113.77,-62.10,-0.32,0.00,19113.77,19113.77,19113.77,0,
6/2/2025,19242.61,128.84,0.67,0.00,19242.61,19242.61,19242.61,0,
6/3/2025,19398.96,156.35,0.81,0.00,19398.96,19398.96,19398.96,0,
6/4/2025,19460.49,61.53,0.32,0.00,19460.49,19460.49,19460.49,0,
6/5/2025,19298.45,-162.04,-0.83,0.00,19298.45,19298.45,19298.45,0,
6/6/2025,19529.95,231.50,1.20,0.00,19529.95,19529.95,19529.95,0,
6/9/2025,19591.24,61.29,0.31,0.00,19591.24,19591.24,19591.24,0,
6/10/2025,19714.99,123.75,0.63,0.00,19714.99,19714.99,19714.99,0,
6/11/2025,19615.88,-99.11,-0.50,0.00,19615.88,19615.88,19615.88,0,
6/12/2025,19662.49,46.61,0.24,0.00,19662.49,19662.49,19662.49,0,
