date,close,change,pct,open,high,low,volume,fetch_time
2024-01-24,2013.90,-9.80,-0.48,2023.20,2033.20,2013.90,253,
2024-01-25,2016.90,3.00,0.15,2012.10,2022.40,2012.10,548,
2024-01-26,2016.80,-0.10,-0.00,2021.70,2022.40,2016.80,49,
2024-01-29,2025.20,8.40,0.42,2025.20,2025.20,2025.20,150708,
2024-01-30,2031.50,6.30,0.31,2032.50,2048.50,2028.10,26907,
2024-01-31,2048.40,16.90,0.83,2035.40,2055.00,2030.00,2007,
2024-02-01,2053.00,4.60,0.22,2040.20,2064.50,2029.00,947,
2024-02-02,2036.10,-16.90,-0.82,2054.80,2055.90,2027.70,888,
2024-02-05,2025.70,-10.40,-0.51,2038.90,2040.80,2013.80,412,
2024-02-06,2034.50,8.80,0.43,2025.90,2037.30,2025.90,249,
2024-02-07,2035.20,0.70,0.03,2032.80,2039.50,2032.70,71,
2024-02-08,2032.20,-3.00,-0.15,2028.00,2036.70,2020.30,341,
2024-02-09,2023.30,-8.90,-0.44,2032.00,2032.00,2020.00,62,
2024-02-12,2018.20,-5.10,-0.25,2025.50,2025.50,2011.60,317,
2024-02-13,1992.90,-25.30,-1.25,2025.10,2025.80,1990.00,198,
2024-02-14,1990.30,-2.60,-0.13,1990.30,1993.50,1984.80,1916,
2024-02-15,2002.10,11.80,0.59,1993.60,2007.20,1993.60,286,
2024-02-16,2011.50,9.40,0.47,2005.00,2011.50,1996.50,32,
2024-02-20,2027.50,16.00,0.80,2015.60,2029.00,2015.60,1326,
2024-02-21,2022.30,-5.20,-0.26,2028.20,2028.20,2022.30,15,
2024-02-22,2019.70,-2.60,-0.13,2033.20,2033.20,2019.70,964,
2024-02-23,2038.60,18.90,0.94,2026.00,2038.60,2014.90,22,
2024-02-26,2028.50,-10.10,-0.50,2034.10,2035.40,2024.80,143,
2024-02-27,2034.00,5.50,0.27,2035.90,2035.90,2034.00,964,
2024-02-28,2033.00,-1.00,-0.05,2029.50,2037.00,2024.80,581,
2024-02-29,2045.70,12.70,0.62,2034.30,2049.80,2034.30,706,
2024-03-01,2086.90,41.20,2.01,2043.10,2086.90,2041.80,1210,
2024-03-04,2117.70,30.80,1.48,2083.60,2119.80,2080.70,805,
2024-03-05,2133.50,15.80,0.75,2114.90,2133.50,2111.40,1287,
2024-03-06,2150.30,16.80,0.79,2125.50,2150.30,2125.50,443,
2024-03-07,2158.00,7.70,0.36,2147.00,2163.00,2147.00,152,
2024-03-08,2178.60,20.60,0.95,2167.30,2194.90,2166.30,259,
2024-03-11,2182.50,3.90,0.18,2181.00,2184.00,2177.20,738,
2024-03-12,2160.40,-22.10,-1.01,2182.50,2182.70,2160.40,550,
2024-03-13,2175.40,15.00,0.69,2162.50,2175.40,2162.50,20,
2024-03-14,2163.00,-12.40,-0.57,2163.00,2163.00,2162.30,515,
2024-03-15,2157.30,-5.70,-0.26,2161.70,2161.70,2157.30,100,
2024-03-18,2160.70,3.40,0.16,2146.20,2160.70,2146.20,21,
2024-03-19,2156.30,-4.40,-0.20,2156.10,2156.30,2156.10,12,
2024-03-20,2157.90,1.60,0.07,2157.30,2185.90,2150.90,17,
2024-03-21,2182.40,24.50,1.14,2207.00,2211.60,2182.40,63,
2024-03-22,2158.10,-24.30,-1.11,2179.20,2179.60,2157.50,19,
2024-03-25,2174.80,16.70,0.77,2166.20,2179.40,2166.20,79,
2024-03-26,2175.60,0.80,0.04,2182.70,2182.70,2175.60,202373,
2024-03-27,2190.60,15.00,0.69,2179.40,2196.20,2172.10,31200,
2024-03-28,2217.40,26.80,1.22,2193.60,2234.10,2187.10,2040,
2024-04-01,2236.50,19.10,0.86,2235.70,2264.20,2230.00,400,
